gene_id,knn_acc_score
1665_s_at,0.9833333333333332
36879_at,0.9833333333333332
40771_at,0.9651515151515152
39070_at,0.95
37405_at,0.9484848484848485
41439_at,0.9484848484848485
31481_s_at,0.9484848484848485
32531_at,0.9484848484848485
41648_at,0.9484848484848485
39043_at,0.9484848484848485
40571_at,0.9484848484848485
34642_at,0.9469696969696969
37215_at,0.9469696969696969
133_at,0.9318181818181819
41177_at,0.9318181818181819
40639_at,0.9318181818181819
37628_at,0.9318181818181819
38288_at,0.9318181818181819
39105_at,0.9318181818181819
32582_at,0.9303030303030304
32971_at,0.9303030303030304
33371_s_at,0.9303030303030303
41086_at,0.9303030303030303
34301_r_at,0.9303030303030303
35354_at,0.9303030303030303
38394_at,0.9287878787878789
1107_s_at,0.9287878787878787
38432_at,0.9272727272727274
2036_s_at,0.9151515151515153
36680_at,0.9151515151515153
895_at,0.9151515151515153
1651_at,0.9151515151515153
1126_s_at,0.9151515151515153
160031_at,0.9136363636363637
40837_at,0.9136363636363637
38634_at,0.9136363636363637
38428_at,0.9121212121212121
31859_at,0.9121212121212121
40853_at,0.9121212121212121
31472_s_at,0.8984848484848484
39330_s_at,0.8984848484848484
34659_at,0.8984848484848484
38125_at,0.8984848484848484
38717_at,0.8984848484848484
38618_at,0.8984848484848484
1385_at,0.8969696969696971
2027_at,0.8969696969696971
35249_at,0.8969696969696971
910_at,0.8969696969696969
1039_s_at,0.8969696969696969
32076_at,0.8969696969696969
32718_at,0.8969696969696969
40403_at,0.8954545454545455
37407_s_at,0.8954545454545455
767_at,0.8954545454545455
38116_at,0.8954545454545455
36675_r_at,0.8954545454545455
39331_at,0.8954545454545455
476_s_at,0.8954545454545455
41081_at,0.8954545454545455
37050_r_at,0.8954545454545455
425_at,0.8939393939393939
40153_at,0.8939393939393939
40488_at,0.8939393939393939
36159_s_at,0.8939393939393939
39052_at,0.8939393939393939
31845_at,0.8924242424242423
32164_at,0.8818181818181818
40239_g_at,0.8818181818181818
40356_at,0.8803030303030305
41076_at,0.8803030303030305
38414_at,0.8803030303030303
36837_at,0.8803030303030303
37071_at,0.8787878787878789
37958_at,0.8787878787878789
33355_at,0.8787878787878787
31791_at,0.8787878787878787
296_at,0.8787878787878787
37015_at,0.8787878787878787
430_at,0.8787878787878787
31812_at,0.8787878787878787
37231_at,0.8787878787878787
35730_at,0.8787878787878787
34371_at,0.8787878787878787
32441_at,0.8772727272727273
32818_at,0.8772727272727273
36569_at,0.8772727272727273
297_g_at,0.8772727272727273
35726_at,0.8772727272727273
1884_s_at,0.8772727272727273
40671_g_at,0.8772727272727273
774_g_at,0.8772727272727273
36459_at,0.8772727272727273
35937_at,0.8772727272727273
40240_at,0.8772727272727273
35627_at,0.8772727272727273
38824_at,0.8757575757575757
1481_at,0.8757575757575757
615_s_at,0.8757575757575757
38059_g_at,0.8757575757575757
32142_at,0.8757575757575757
35583_at,0.8757575757575757
41534_at,0.8757575757575757
33338_at,0.8742424242424243
40407_at,0.8636363636363636
37590_g_at,0.8621212121212121
40690_at,0.8621212121212121
34720_at,0.8621212121212121
1235_at,0.8621212121212121
32263_at,0.8621212121212121
40012_at,0.8621212121212121
32724_at,0.8621212121212121
33411_g_at,0.8621212121212121
39677_at,0.8621212121212121
32819_at,0.8621212121212121
38098_at,0.8621212121212121
