gene_id,rf_acc_score
203889_at,1.0
210511_s_at,1.0
227140_at,1.0
204415_at,1.0
204754_at,1.0
232054_at,1.0
206558_at,1.0
223557_s_at,1.0
228194_s_at,1.0
219932_at,1.0
225354_s_at,1.0
213790_at,1.0
240361_at,1.0
231766_s_at,1.0
204712_at,1.0
222693_at,1.0
241726_at,1.0
1559606_at,1.0
1559607_s_at,1.0
232116_at,1.0
213050_at,1.0
205483_s_at,1.0
220065_at,1.0
212354_at,1.0
229947_at,1.0
236901_at,1.0
214660_at,1.0
211964_at,1.0
209466_x_at,1.0
211276_at,1.0
213797_at,1.0
232009_at,1.0
204439_at,1.0
242625_at,1.0
1552496_a_at,1.0
204591_at,1.0
226777_at,1.0
212353_at,1.0
205623_at,1.0
204879_at,1.0
212489_at,1.0
209590_at,1.0
226702_at,1.0
201506_at,1.0
202952_s_at,1.0
211980_at,1.0
206858_s_at,1.0
204755_x_at,1.0
204875_s_at,1.0
209587_at,1.0
211737_x_at,1.0
214453_s_at,1.0
239921_at,1.0
227925_at,1.0
214234_s_at,1.0
227827_at,1.0
205479_s_at,1.0
1556698_a_at,1.0
211981_at,1.0
223821_s_at,1.0
206553_at,1.0
205680_at,1.0
217804_s_at,1.0
229450_at,1.0
205959_at,1.0
211269_s_at,1.0
208502_s_at,1.0
207714_s_at,1.0
214235_at,1.0
223822_at,1.0
211726_s_at,1.0
236449_at,1.0
228268_at,1.0
202998_s_at,1.0
209969_s_at,1.0
206300_s_at,1.0
208596_s_at,1.0
212473_s_at,1.0
1553808_a_at,1.0
1557143_at,1.0
205620_at,1.0
203504_s_at,1.0
219040_at,1.0
203417_at,1.0
210096_at,1.0
209465_x_at,1.0
204416_x_at,1.0
241412_at,1.0
226609_at,1.0
211719_x_at,1.0
235589_s_at,1.0
233002_at,1.0
227828_s_at,1.0
203915_at,1.0
212344_at,1.0
225259_at,1.0
215125_s_at,1.0
225817_at,1.0
204256_at,1.0
219995_s_at,1.0
203153_at,1.0
226997_at,1.0
205073_at,1.0
204747_at,1.0
206605_at,1.0
205350_at,1.0
210280_at,1.0
227676_at,1.0
205999_x_at,1.0
209679_s_at,1.0
228469_at,1.0
214974_x_at,1.0
216442_x_at,1.0
212510_at,1.0
229740_at,1.0
205941_s_at,1.0
206094_x_at,1.0
236249_at,1.0
222830_at,1.0
