ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
205789_at,2.19265508399213,4.23536002238806,5.46872771835628,0.000152632631795,0.0030024110612687,1.09974030230357
227506_at,-2.19716533665936,7.46596142681414,-5.4569238370142,0.0001555231372704,0.0030349799161348,1.08080103104053
215103_at,-2.87969133514858,6.96604835668097,-5.4513543449986,0.0001569069961967,0.0030438317549864,1.07185775346034
204667_at,-3.31918898326465,5.90396801544284,-5.44892390856214,0.0001575149587224,0.0030438317549864,1.06795363462736
217875_s_at,2.06833195936283,7.95888824047825,5.43982376139651,0.0001598134984626,0.0030732363594394,1.0533280179164
205899_at,3.6563451166669,6.39009470821865,5.42902151732283,0.0001625880022892,0.0031139065266022,1.03595116616772
221665_s_at,-2.07290856118123,8.63006351990723,-5.40757905711015,0.000168247115115,0.0031899382749327,1.00140782581475
91826_at,-2.11800944807382,9.30609623973818,-5.39861604179873,0.0001706739097511,0.0032217262117487,0.986948804674488
1554406_a_at,1.72231426479759,6.24393801540429,5.39645928566265,0.0001712633610938,0.0032217262117487,0.983467812751876
229764_at,-2.37822052636299,9.09868376001591,-5.39636726925942,0.0001712885573287,0.0032217262117487,0.983319283795902
212364_at,1.73073241818445,8.98799322435774,5.39037273273877,0.0001729384580504,0.0032398510335553,0.97364051176674
228557_at,-1.61331745351921,4.92988987527501,-5.3875516091039,0.0001737207222662,0.003248061504233,0.969083725054364
203453_at,-2.24051498892477,9.04188070222123,-5.38098689737491,0.0001755555264882,0.0032747784224255,0.95847568529909
238631_at,-2.41026489614974,4.27738747323504,-5.37996376502805,0.0001758433234664,0.0032747784224255,0.956821824117599
211966_at,2.09976828832872,7.75822091778672,5.37841336015395,0.0001762803859887,0.0032764555206807,0.954315354446432
205676_at,1.67093323837903,5.60360473612523,5.37423675717236,0.0001774634913349,0.0032855103631071,0.947561496080765
203052_at,2.23264642299069,7.5511505978591,5.36425380748226,0.0001803254281512,0.0033254544777424,0.931408135856615
206482_at,-2.15608494148241,8.7980758668088,-5.36135272956432,0.0001811662161231,0.0033344471981176,0.926711211598998
215440_s_at,-2.09476431712143,8.15343597617464,-5.35401222219827,0.0001833121579045,0.0033546651333732,0.914821293097495
208650_s_at,-1.90287275040099,10.9330412908481,-5.35394964573108,0.0001833305664923,0.0033546651333732,0.914719900249734
201559_s_at,1.63760966578391,5.58611518285085,5.33945490755041,0.0001876475763246,0.0034204023468291,0.89121878545387
222835_at,-2.31943118202798,8.45514162398326,-5.33030309414919,0.0001904283958919,0.0034644025318141,0.876364824545698
224329_s_at,-1.82302807876879,12.3553547040673,-5.31944806307456,0.0001937831877383,0.003505036093954,0.858730774454418
208025_s_at,4.46663576962373,6.0705465338332,5.31738382777354,0.0001944281699528,0.003505036093954,0.855375492547184
211549_s_at,-2.0373496992449,7.3977785237148,-5.31709691831746,0.0001945179954704,0.003505036093954,0.854909091064535
230577_at,-2.60180644578879,3.37792032053781,-5.31206198443598,0.0001961014724922,0.0035268382919458,0.846722347185557
1568868_at,3.445088072436,4.7521276723386,5.30822410151215,0.0001973176045941,0.0035352425475854,0.840479542806038
211465_x_at,-2.26360987882513,7.82063663496932,-5.29983508226624,0.0002000036505813,0.0035765804333119,0.826826357096321
209373_at,-1.9356431251647,10.5896636527009,-5.29288821822003,0.000202257110622,0.0036005244289653,0.815512628986167
205660_at,1.95860516200191,7.28026071953866,5.29212024856307,0.0002025078664844,0.0036005244289653,0.814261480643146
229649_at,-1.77193629390408,4.66646247654153,-5.29153435922967,0.0002026993902138,0.0036005244289653,0.813306913985463
219554_at,-5.27122805352037,10.1691909236287,-5.28548364754367,0.0002046885364231,0.0036192306384042,0.803445841337985
229390_at,2.07163044384643,7.8904960550759,5.28031943720549,0.0002064025226967,0.0036427151762659,0.795025375699101
215059_at,-1.91536607746948,4.95516313234317,-5.27817792736231,0.000207117714578,0.0036485176512055,0.791532429808504
201309_x_at,2.21784861699201,5.50636458125017,5.2746730215857,0.0002082938755969,0.0036555962330605,0.78581427447644
236534_at,-2.11786091451278,8.01825954388109,-5.26956634734965,0.0002100201664375,0.0036790545667969,0.777479725995705
210399_x_at,-2.68662653617815,7.4466676027638,-5.26761839683108,0.000210682630223,0.0036818537783119,0.774299511909497
213904_at,-2.05699548869018,4.61734825663537,-5.26680516015288,0.0002109598489797,0.0036818537783119,0.772971664974208
218966_at,-1.72102699109077,6.83055119011079,-5.25179784436598,0.0002161451802388,0.003731820768702,0.748450829929958
227628_at,1.81950358841136,8.28202906415732,5.25078894055358,0.0002164985606279,0.003731820768702,0.746801200140699
201042_at,2.1157822773079,8.12668132416965,5.24947933634317,0.0002169581730204,0.003731820768702,0.74465968661722
221524_s_at,-1.87820943445084,9.16784745598327,-5.24818318743615,0.0002174140755675,0.003731820768702,0.742539934242117
236496_at,-1.80776478247561,5.96479008117288,-5.24485853611823,0.0002185880970006,0.003731820768702,0.73710162330289
218779_x_at,-1.99722995088065,8.88035331574495,-5.24331128811897,0.0002191367465579,0.003731820768702,0.734570167887235
228865_at,-1.86201856399171,9.08014046893728,-5.24269376198033,0.0002193561244047,0.003731820768702,0.733559736682505
209278_s_at,4.93528437855069,5.337782775158,5.2402147998575,0.0002202391139168,0.0037333890728961,0.729502970302895
203407_at,-2.330941727973,11.8370665969406,-5.23755346389145,0.0002211912330435,0.0037361138146635,0.725146776234866
238028_at,-1.72397086885477,7.22208737993797,-5.23638594293892,0.0002216102926792,0.0037365078276388,0.723235406417202
211026_s_at,-1.57098953869313,9.90786464194312,-5.23505543868426,0.0002220888719753,0.0037379021910715,0.721056976421399
1561368_at,-2.68150170071592,5.10943133205866,-5.21924280130407,0.0002278607359612,0.0038146472853647,0.695147664581977
225288_at,1.6699340143337,6.8665271019248,5.21333582893923,0.0002300572256923,0.0038366403158582,0.685459833684503
204731_at,-1.72542941292225,7.98799094509253,-5.20076042149744,0.0002348079599396,0.0038794480945651,0.66481878304769
206199_at,-3.66744521043853,7.50897399757151,-5.19805654030122,0.0002358428613285,0.0038794918060345,0.660377743286099
221655_x_at,-2.052901041543,8.68252945536202,-5.19196320212813,0.0002381927144129,0.0039113314947609,0.650365819677665
37145_at,2.02241597641155,7.23995724558588,5.17917120855654,0.0002432064262365,0.0039679605923515,0.629330236892708
