gene_id,rf_acc_score
ILMN_2073758,0.9733333333333334
ILMN_2112357,0.9625
ILMN_1730229,0.9625
ILMN_2376205,0.9616666666666667
ILMN_2112256,0.9616666666666667
ILMN_1784884,0.9616666666666667
ILMN_1781085,0.9616666666666667
ILMN_1762764,0.9616666666666667
ILMN_1756953,0.9616666666666667
ILMN_1729749,0.9608333333333334
ILMN_2196078,0.95
ILMN_1681301,0.9491666666666667
ILMN_1683774,0.9491666666666667
ILMN_1668822,0.9491666666666667
ILMN_1798204,0.9491666666666667
ILMN_1789007,0.9491666666666667
ILMN_2121568,0.9491666666666667
ILMN_1727220,0.9491666666666667
ILMN_2232121,0.9483333333333335
ILMN_1745397,0.9475000000000001
ILMN_1751400,0.9475
ILMN_1715131,0.9366666666666668
ILMN_1783598,0.9366666666666668
ILMN_2223359,0.9366666666666668
ILMN_1815890,0.9358333333333334
ILMN_2290118,0.9358333333333334
ILMN_1721218,0.9358333333333334
ILMN_2115752,0.9349999999999999
ILMN_1789846,0.9349999999999999
ILMN_1669692,0.925
ILMN_2415786,0.9241666666666667
ILMN_3252556,0.9241666666666667
ILMN_1792922,0.9241666666666667
ILMN_2112580,0.9241666666666667
ILMN_2350823,0.9241666666666667
ILMN_1727080,0.9241666666666667
ILMN_3240456,0.9241666666666667
ILMN_1811114,0.9233333333333335
ILMN_2161577,0.9233333333333335
ILMN_1759075,0.9233333333333335
ILMN_1723480,0.9233333333333335
ILMN_1722829,0.9233333333333335
ILMN_2185984,0.9233333333333335
ILMN_1757631,0.9233333333333335
ILMN_1654542,0.9233333333333335
ILMN_1756657,0.9233333333333335
ILMN_2363392,0.9225
ILMN_1674250,0.9225
ILMN_1667224,0.9225
ILMN_2316236,0.9225
ILMN_1774874,0.9216666666666666
ILMN_2088990,0.9116666666666667
ILMN_1760347,0.9116666666666667
ILMN_1782141,0.9116666666666667
ILMN_1811972,0.9116666666666667
ILMN_1789166,0.9108333333333334
ILMN_2348487,0.9108333333333334
ILMN_1732981,0.9108333333333334
ILMN_1701424,0.9108333333333334
ILMN_2320330,0.9108333333333334
ILMN_2125010,0.9100000000000001
ILMN_1701455,0.9100000000000001
ILMN_1683932,0.9100000000000001
ILMN_1773352,0.9099999999999999
ILMN_2085862,0.9099999999999999
ILMN_1690017,0.9099999999999999
ILMN_1695604,0.9
ILMN_2098126,0.8991666666666667
ILMN_1792538,0.8991666666666667
ILMN_1775542,0.8991666666666667
ILMN_1717207,0.8991666666666667
ILMN_2289093,0.8983333333333334
ILMN_1766650,0.8983333333333334
ILMN_2379675,0.8983333333333334
ILMN_2401641,0.8983333333333334
ILMN_1746928,0.8983333333333334
ILMN_1746864,0.8975000000000002
ILMN_1714165,0.8975000000000002
ILMN_2415144,0.8975000000000002
ILMN_1721712,0.8975000000000002
