gene_id,svm_acc_score
204475_at,0.975
203510_at,0.975
221898_at,0.975
202267_at,0.95
202859_x_at,0.9464285714285715
210355_at,0.9464285714285715
206093_x_at,0.9464285714285714
218847_at,0.9464285714285714
239183_at,0.9464285714285714
205987_at,0.925
205200_at,0.925
211725_s_at,0.925
203476_at,0.925
1556773_at,0.925
211756_at,0.9214285714285715
222692_s_at,0.9214285714285715
212364_at,0.9214285714285714
216333_x_at,0.9214285714285714
225990_at,0.9214285714285714
1560712_at,0.9214285714285714
209612_s_at,0.9178571428571429
205752_s_at,0.9178571428571429
228854_at,0.9178571428571429
242143_at,0.9178571428571429
213939_s_at,0.9
204470_at,0.8964285714285716
206300_s_at,0.8964285714285716
213451_x_at,0.8964285714285714
205828_at,0.8964285714285714
203256_at,0.8964285714285714
212274_at,0.8964285714285714
211980_at,0.8964285714285714
201250_s_at,0.8964285714285714
228376_at,0.8964285714285714
211026_s_at,0.8964285714285714
223739_at,0.8928571428571429
203914_x_at,0.8928571428571429
226627_at,0.8928571428571429
209894_at,0.8928571428571429
206227_at,0.8928571428571429
231773_at,0.8928571428571429
213992_at,0.8714285714285716
228568_at,0.8714285714285716
229011_at,0.8714285714285716
226022_at,0.8714285714285716
202192_s_at,0.8714285714285716
204948_s_at,0.8714285714285716
1553808_a_at,0.8714285714285716
1561685_a_at,0.8714285714285713
204719_at,0.8714285714285713
205382_s_at,0.8714285714285713
1553213_a_at,0.8714285714285713
225671_at,0.8678571428571429
226806_s_at,0.8678571428571429
204755_x_at,0.8678571428571429
230451_at,0.8678571428571429
201656_at,0.8678571428571429
211548_s_at,0.8678571428571429
230418_s_at,0.8678571428571429
209613_s_at,0.8678571428571429
204580_at,0.8678571428571429
217508_s_at,0.8678571428571429
206884_s_at,0.8678571428571429
1553672_at,0.8678571428571429
210511_s_at,0.8678571428571429
227401_at,0.8678571428571429
225102_at,0.8678571428571429
204894_s_at,0.8678571428571429
209546_s_at,0.8678571428571429
225207_at,0.8678571428571429
203423_at,0.8678571428571429
213071_at,0.8642857142857142
219230_at,0.8642857142857142
