ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
210155_at,-2.149844611,6.625916178,-3.526503696,0.001339253,0.024857292,-1.101261121
1554459_s_at,2.72182593,5.092230522,3.526117748,0.001340641,0.024857292,-1.102214587
210133_at,1.875187982,7.472160306,3.525764312,0.001341913,0.024857292,-1.103087697
214175_x_at,1.5226837,10.93021993,3.525496509,0.001342878,0.024857292,-1.10374924
206237_s_at,1.677666006,7.668241115,3.524993305,0.001344692,0.024871807,-1.104992232
208885_at,-1.640776783,9.498749006,-3.523114991,0.001351487,0.024972134,-1.109631336
208490_x_at,1.536495765,9.480301321,3.521899755,0.0013559,0.025036762,-1.112632229
205825_at,2.397098991,5.395088758,3.521670516,0.001356734,0.025043706,-1.113198264
229579_s_at,2.265840783,6.416613979,3.520395639,0.001361382,0.025082424,-1.116345905
231142_at,1.792755663,5.577391109,3.520320744,0.001361656,0.025082424,-1.116530807
232439_at,-2.053184761,5.74506831,-3.519719275,0.001363854,0.025083624,-1.118015647
1553405_a_at,1.802772142,4.711844036,3.519703058,0.001363914,0.025083624,-1.118055681
1569112_at,2.998524705,7.153277379,3.519666018,0.001364049,0.025083624,-1.118147118
231932_at,1.669716802,8.512330722,3.519345254,0.001365223,0.025088485,-1.11893894
243954_at,-2.595190531,3.885268865,-3.518069578,0.001369902,0.025125596,-1.122087724
220994_s_at,-2.908145899,4.735232595,-3.517306925,0.001372707,0.025143234,-1.12396998
228376_at,-2.070249589,8.056540945,-3.517182975,0.001373163,0.025143234,-1.12427588
239244_at,-2.622165443,3.849212768,-3.517021081,0.001373759,0.025145731,-1.124675414
231657_s_at,-1.514953476,2.976670775,-3.516173592,0.001376885,0.025176406,-1.12676679
1554636_at,-2.002049507,5.381115653,-3.51603554,0.001377395,0.025176406,-1.127107445
232211_at,1.561792639,5.470825226,3.515056852,0.001381014,0.025210995,-1.129522298
233251_at,-1.941582807,6.776708026,-3.514118066,0.001384494,0.025240818,-1.131838438
238454_at,-2.414407236,5.224647537,-3.513558325,0.001386573,0.025270295,-1.133219297
241078_at,1.739109397,5.615961258,3.512583394,0.001390202,0.025305582,-1.135624196
205987_at,-2.624193226,6.991543065,-3.512252908,0.001391434,0.025305582,-1.136439359
219832_s_at,2.793694451,7.166218229,3.511805775,0.001393102,0.025305582,-1.137542188
230896_at,-3.267330388,2.702757197,-3.511438765,0.001394473,0.025313024,-1.138447355
202952_s_at,2.246404563,7.880828157,3.510387753,0.001398407,0.025367583,-1.141039289
1557616_at,2.247260008,4.928933632,3.508459842,0.00140565,0.025439896,-1.145792959
219450_at,-1.638237637,7.118046643,-3.508294828,0.001406272,0.025442725,-1.146199787
1555551_at,1.652330804,8.68199928,3.506983188,0.001411223,0.025514927,-1.149433249
201008_s_at,-2.266273111,8.774936713,-3.506866845,0.001411663,0.025514927,-1.149720035
228258_at,-2.308930999,8.513973847,-3.505271243,0.00141771,0.025598838,-1.15365281
201860_s_at,2.047653716,10.23475522,3.504557362,0.001420423,0.025628127,-1.155412124
220059_at,-3.213599985,6.15347263,-3.504330545,0.001421287,0.025629566,-1.155971068
204223_at,-2.238380364,7.669933079,-3.503934704,0.001422794,0.025648296,-1.156946504
223878_at,1.959488387,6.79864651,3.502994719,0.001426381,0.025668683,-1.159262646
210370_s_at,-3.025411838,4.871183124,-3.502678808,0.001427588,0.025675455,-1.160041003
219704_at,-2.093208307,5.326645153,-3.499804574,0.001438618,0.025799676,-1.167121358
209200_at,-2.025803948,8.783342031,-3.497268779,0.001448418,0.025919734,-1.173366054
206296_x_at,-2.260246275,6.990549339,-3.495757494,0.001454289,0.025963072,-1.1770869
206999_at,2.38455671,7.457138117,3.493984168,0.001461207,0.026048741,-1.181452069
233504_at,2.435629302,7.035650728,3.49382933,0.001461813,0.026051043,-1.18183317
212473_s_at,1.666884729,10.77719097,3.493370433,0.001463609,0.026056482,-1.182962612
203331_s_at,-2.331481868,4.691617252,-3.493066821,0.001464798,0.026057018,-1.183709832
201641_at,2.772656079,11.24494504,3.492385857,0.00146747,0.026075367,-1.185385654
231773_at,-3.440412458,5.612193574,-3.491921062,0.001469296,0.026099332,-1.186529421
231365_at,2.274640802,4.670764331,3.491723312,0.001470073,0.026104663,-1.187016023
219872_at,1.824784872,5.182328133,3.491336686,0.001471595,0.026123195,-1.18796736
236423_at,1.582057437,8.210353036,3.490492748,0.001474921,0.026173744,-1.190043817
217294_s_at,2.473133062,9.468994592,3.48995529,0.001477043,0.026188394,-1.191366095
1555007_s_at,1.944964403,8.128800168,3.489644931,0.00147827,0.02619916,-1.192129613
221348_at,-2.356609127,4.337564111,-3.48845763,0.001482972,0.026265468,-1.19505026
1553729_s_at,2.010901663,4.559222046,3.487705252,0.001485959,0.026287756,-1.196900828
225491_at,-3.207342198,4.602826501,-3.484093183,0.001500382,0.026445314,-1.205782894
1556461_at,-2.351378381,5.031400018,-3.48283412,0.00150544,0.026509064,-1.208878043
211571_s_at,2.425911083,6.496583415,3.482831001,0.001505453,0.026509064,-1.208885708
218312_s_at,-1.949417624,8.748808105,-3.481525148,0.001510717,0.026576085,-1.212095396
241128_at,2.48998992,3.144066228,3.48100427,0.001512822,0.026604552,-1.213375536
210236_at,1.55042568,8.578004733,3.480709494,0.001514015,0.02661696,-1.214099962
212472_at,1.777802513,9.374899699,3.47814746,0.001524417,0.026756814,-1.220395208
206561_s_at,2.892549301,12.29873611,3.476235896,0.001532223,0.026842124,-1.225090927
216333_x_at,-2.814413263,7.625549139,-3.475523112,0.001535143,0.02686028,-1.226841597
206371_at,1.999014382,6.819063422,3.474614554,0.001538874,0.026882389,-1.229072892
1561906_at,1.975190998,4.584827479,3.47459693,0.001538946,0.026882389,-1.229116173
219650_at,1.507456844,7.842841581,3.472527841,0.001547475,0.027001515,-1.234196669
237442_at,-1.535180543,6.550550288,-3.470436681,0.001556141,0.02710481,-1.239330095
232929_at,-1.847707306,6.43541241,-3.469262416,0.001561028,0.027155324,-1.242212146
1560950_at,1.870287668,4.306746156,3.468526687,0.001564097,0.027180267,-1.244017675
240057_at,-2.509456387,3.406387596,-3.468035394,0.00156615,0.027192519,-1.245223253
208791_at,-4.012319646,9.534425104,-3.467372484,0.001568924,0.027206125,-1.246849849
231180_at,1.823032843,6.418341921,3.4661338,0.00157412,0.027278927,-1.249888888
200628_s_at,1.948271725,10.61452652,3.465208313,0.001578013,0.027311768,-1.252159224
1555786_s_at,2.116594223,8.902268148,3.464094088,0.001582713,0.027358133,-1.254892223
1561857_at,-1.625289574,2.2435509,-3.462465863,0.001589604,0.027434387,-1.258885324
224964_s_at,-1.578149329,8.901350952,-3.462332124,0.001590172,0.027435356,-1.259213276
206519_x_at,-2.46000411,4.011957803,-3.460497735,0.001597973,0.027542752,-1.263710972
218870_at,-1.989485815,7.666817419,-3.459878438,0.001600616,0.02755468,-1.265229192
219812_at,-1.723830527,7.459333177,-3.458639475,0.001605914,0.027628498,-1.268266193
240265_at,-2.671207543,6.327678752,-3.458103597,0.001608211,0.027650615,-1.269579622
226444_at,-2.011536545,7.28920454,-3.45779005,0.001609557,0.027660365,-1.270348081
216487_at,1.890223574,5.240422296,3.457482977,0.001610876,0.027660365,-1.271100646
228235_at,2.353766276,7.197745214,3.456916431,0.001613311,0.027677377,-1.272489047
241177_at,-2.371493583,2.665265012,-3.456087924,0.00161688,0.027729896,-1.274519248
217428_s_at,3.598296856,7.861650696,3.453313691,0.001628884,0.02786585,-1.281315849
239467_at,-1.861087284,5.442045601,-3.450992261,0.001638996,0.027986286,-1.287001379
202145_at,1.940399524,10.28017005,3.449839149,0.001644041,0.028019925,-1.289824931
206893_at,2.89115383,3.732545545,3.449671522,0.001644775,0.02802371,-1.290235356
209614_at,-2.28588691,3.995230847,-3.446392322,0.00165921,0.02823446,-1.29826261
236562_at,-2.919866162,5.626518123,-3.445867777,0.001661531,0.02824757,-1.299546364
228260_at,2.707542249,8.264729997,3.44482333,0.00166616,0.028299877,-1.302102263
226138_s_at,1.869421152,3.539288747,3.444548631,0.00166738,0.028303008,-1.302774435
242625_at,3.051135805,9.895251396,3.443112316,0.001673771,0.028382358,-1.306288641
233720_at,-1.942243314,5.677912259,-3.442246481,0.001677635,0.028424142,-1.30840677
229964_at,-3.36338065,5.419827443,-3.44108164,0.001682847,0.028445254,-1.311256014
222322_at,-2.830724341,4.423131754,-3.441003972,0.001683195,0.028445254,-1.311445978
210095_s_at,1.83017312,13.12477734,3.440805811,0.001684084,0.028445254,-1.311930643
214981_at,2.546359176,5.469580571,3.438724765,0.001693441,0.028568004,-1.317019781
214079_at,2.917135724,6.278537386,3.437743105,0.001697873,0.028610439,-1.319419954
241363_at,-1.991374088,4.77554484,-3.436794818,0.001702164,0.028653269,-1.321738255
238094_at,-2.010318062,3.310230877,-3.43625676,0.001704604,0.028667856,-1.323053541
1553808_a_at,-4.308500015,4.679745574,-3.435206802,0.001709374,0.028713679,-1.325619917
204116_at,-2.018467535,8.178210071,-3.435117344,0.001709781,0.028713679,-1.32583856
216985_s_at,1.6613027,5.517129108,3.434802113,0.001711216,0.028715881,-1.326608997
230578_at,-2.875763195,4.459117733,-3.434704408,0.001711661,0.028715881,-1.326847785
241365_at,-2.548003186,6.025725879,-3.434228609,0.00171383,0.028743445,-1.328010584
220225_at,2.133732414,9.447250883,3.431946124,0.00172427,0.028821299,-1.333587777
219452_at,-2.84874388,4.496665577,-3.43049442,0.001730942,0.028882886,-1.337134163
229968_at,-1.507368216,7.070588666,-3.430342348,0.001731643,0.028882886,-1.337505625
224401_s_at,-2.102650271,5.312311787,-3.429483641,0.001735603,0.028927522,-1.339603035
209540_at,-1.703640182,7.248457717,-3.428588631,0.001739739,0.028974555,-1.34178888
1564229_at,1.571249991,6.60341095,3.428575936,0.001739798,0.028974555,-1.341819884
1556062_at,-2.129500305,4.695135299,-3.427430296,0.001745107,0.029042542,-1.344617474
1558523_at,-3.016213664,4.009095579,-3.426010216,0.00175171,0.029110864,-1.348084685
231093_at,-2.817144683,7.700581334,-3.425495699,0.001754108,0.029133008,-1.349340757
205290_s_at,1.797818756,10.63591712,3.424705606,0.001757797,0.02917112,-1.351269432
239894_at,-1.645967415,2.47979672,-3.423717111,0.001762423,0.029174815,-1.353682152
200629_at,2.159342831,12.30626432,3.423701664,0.001762495,0.029174815,-1.353719855
234415_x_at,-2.358749937,4.50935346,-3.422769975,0.001766866,0.029222522,-1.35599365
226702_at,2.426147537,10.53906726,3.422745542,0.00176698,0.029222522,-1.356053274
225571_at,-2.437685342,6.670433943,-3.422450631,0.001768366,0.029227758,-1.356772951
1560475_at,2.015351683,5.468348065,3.421860134,0.001771144,0.029247146,-1.35821387
235296_at,1.559682489,8.433862337,3.419700298,0.00178134,0.029353458,-1.363483365
239782_at,2.616190911,5.255049378,3.41821748,0.001788373,0.029425364,-1.367100275
1556749_at,-1.969628705,3.326651513,-3.418212896,0.001788395,0.029425364,-1.367111456
205407_at,-1.60416867,8.457259143,-3.41754512,0.001791571,0.02945103,-1.368740085
212886_at,-1.557133469,8.885451472,-3.417235279,0.001793046,0.029466425,-1.369495705
228891_at,-2.35276599,6.200382734,-3.416390686,0.001797074,0.029506012,-1.371555299
237865_x_at,-1.62095729,6.617331395,-3.415811504,0.001799841,0.029524847,-1.372967545
205699_at,2.397257629,3.84568817,3.415158752,0.001802965,0.029558349,-1.37455906
206595_at,2.376948486,9.94419197,3.414198373,0.00180757,0.029609281,-1.376900381
231643_s_at,1.508187515,6.380967395,3.413171304,0.001812507,0.029643684,-1.379403976
227123_at,2.402753515,5.188168103,3.412324793,0.001816586,0.029673704,-1.381467203
229569_at,-2.710396134,4.919542411,-3.412237752,0.001817006,0.029673704,-1.381679336
227318_at,-2.099736467,6.51922309,-3.411448029,0.001820821,0.029673704,-1.383603933
215925_s_at,-2.473132978,5.747300311,-3.410823661,0.001823842,0.029694252,-1.385125414
217475_s_at,1.571760187,6.173914904,3.410721695,0.001824336,0.029694252,-1.385373878
205632_s_at,-1.817203189,7.20039866,-3.410185289,0.001826936,0.029713086,-1.386680899
206227_at,-1.9298551,7.631236335,-3.408808666,0.001833625,0.029761494,-1.390034816
216373_at,-2.861634717,2.878167101,-3.40869782,0.001834165,0.029761494,-1.390304848
222722_at,-2.596268292,5.810224689,-3.408188883,0.001836644,0.02978011,-1.391544626
220882_at,-1.910442857,4.003404143,-3.407451079,0.001840245,0.029811966,-1.393341786
209199_s_at,-2.036602786,9.774754335,-3.406915974,0.00184286,0.029823473,-1.394645104
1559455_at,-1.751920955,6.768748556,-3.40652883,0.001844755,0.029831995,-1.395587988
224239_at,1.674860938,7.604477883,3.404915886,0.001852668,0.029908181,-1.3995158
210279_at,-3.106626444,5.852835816,-3.403892897,0.001857704,0.029935156,-1.402006552
215715_at,3.429566145,7.162569915,3.402048219,0.001866819,0.03003776,-1.406497122
233096_at,1.638597983,4.538647384,3.401276473,0.001870644,0.030063929,-1.408375503
205259_at,-2.487638417,6.122264032,-3.400389486,0.001875051,0.030108136,-1.410534149
1564155_x_at,-1.926898865,7.097312086,-3.400123115,0.001876376,0.030108136,-1.411182363
228082_at,1.825287631,7.153868523,3.399382425,0.001880066,0.03012992,-1.412984723
1560066_at,1.570817719,7.620980849,3.398834939,0.001882798,0.030152892,-1.414316839
243771_at,-2.611925971,5.277147166,-3.397361332,0.00189017,0.030209449,-1.41790189
237124_at,3.01396411,2.828206293,3.397025347,0.001891855,0.030209449,-1.418719196
243052_at,1.563105388,6.480699742,3.395063704,0.00190172,0.030322698,-1.423490321
1565581_at,1.781008964,4.484279874,3.394652201,0.001903796,0.030343076,-1.424491029
1569923_s_at,2.227691516,7.358404222,3.392826691,0.00191303,0.030440899,-1.428929752
205495_s_at,2.644089582,7.933916969,3.391656583,0.001918972,0.030491078,-1.431774324
212374_at,1.69642131,8.532460031,3.390237496,0.001926202,0.030570422,-1.435223606
232286_at,-2.971339246,4.760529955,-3.389720994,0.00192884,0.030594528,-1.436478878
208536_s_at,2.187165628,5.005958954,3.388822241,0.001933439,0.030635276,-1.438662952
216880_at,1.70188418,6.085027711,3.388780935,0.00193365,0.030635276,-1.438763323
233304_at,-2.631699199,4.150987376,-3.387590933,0.001939756,0.030691703,-1.441654765
204199_at,-2.130584893,7.143710733,-3.387539842,0.001940019,0.030691703,-1.441778895
202007_at,1.753799474,10.23454329,3.386216312,0.001946832,0.03075585,-1.444994242
214641_at,-2.150205522,3.78488866,-3.385886948,0.001948531,0.030764065,-1.445794304
226192_at,-1.878778639,6.443805597,-3.38421151,0.001957197,0.030847432,-1.449863616
202859_x_at,2.567829798,12.2896725,3.383811638,0.001959271,0.030862321,-1.450834698
201939_at,1.50217674,11.81859141,3.381076698,0.00197351,0.031024055,-1.457475113
228564_at,2.014343412,8.193925395,3.380765364,0.001975137,0.031035156,-1.458230884
220014_at,1.507878707,7.376618329,3.380724411,0.001975352,0.031035156,-1.458330295
206380_s_at,-2.449385252,4.190124864,-3.380497754,0.001976537,0.031040857,-1.458880488
1568780_at,-1.69558843,7.828561904,-3.378892205,0.001984955,0.031123437,-1.462777374
