gene_id,rf_acc_score
217634_at,1.0
202990_at,1.0
230193_at,1.0
241079_at,1.0
204844_at,1.0
203256_at,1.0
212365_at,1.0
203438_at,1.0
220513_at,1.0
202912_at,1.0
204281_at,1.0
213793_s_at,1.0
228377_at,1.0
41037_at,1.0
203005_at,1.0
204475_at,1.0
212364_at,1.0
225051_at,1.0
202628_s_at,1.0
205241_at,1.0
231766_s_at,1.0
205828_at,1.0
206528_at,1.0
213419_at,1.0
1556773_at,1.0
225688_s_at,1.0
211980_at,1.0
1552477_a_at,1.0
232313_at,1.0
204729_s_at,1.0
204858_s_at,1.0
229900_at,1.0
203736_s_at,1.0
217497_at,1.0
212396_s_at,1.0
229622_at,1.0
242399_at,1.0
203439_s_at,1.0
203324_s_at,1.0
211160_x_at,1.0
201976_s_at,1.0
212662_at,1.0
235492_at,1.0
224950_at,1.0
235133_at,1.0
1552575_a_at,1.0
1554008_at,1.0
218644_at,1.0
221902_at,1.0
211668_s_at,1.0
233450_at,1.0
222136_x_at,1.0
206026_s_at,1.0
227452_at,1.0
232666_at,1.0
226117_at,1.0
203249_at,1.0
224937_at,1.0
204701_s_at,1.0
1562665_at,1.0
206025_s_at,1.0
209021_x_at,1.0
236901_at,1.0
212012_at,1.0
222433_at,1.0
227140_at,1.0
209402_s_at,1.0
214039_s_at,1.0
229513_at,1.0
229111_at,1.0
225612_s_at,1.0
217764_s_at,1.0
231192_at,1.0
240640_at,1.0
1555423_at,1.0
205656_at,1.0
217762_s_at,1.0
1562863_at,1.0
210511_s_at,1.0
200730_s_at,1.0
207714_s_at,1.0
239146_at,1.0
211981_at,1.0
1554779_s_at,1.0
212013_at,1.0
222368_at,1.0
238084_at,1.0
1554163_at,1.0
235857_at,1.0
223869_at,1.0
218856_at,1.0
223541_at,1.0
204558_at,1.0
215768_at,1.0
1566880_at,1.0
201995_at,1.0
238741_at,1.0
228905_at,1.0
204337_at,1.0
236738_at,1.0
235369_at,1.0
210119_at,1.0
206201_s_at,1.0
238460_at,1.0
206244_at,1.0
204420_at,1.0
218400_at,1.0
225807_at,1.0
240286_at,1.0
214866_at,1.0
201811_x_at,1.0
225059_at,1.0
208637_x_at,1.0
235146_at,1.0
1568623_a_at,1.0
237571_at,1.0
1554108_at,1.0
217763_s_at,1.0
224859_at,1.0
214238_at,1.0
218834_s_at,1.0
232746_at,1.0
202267_at,1.0
206745_at,1.0
226658_at,1.0
205204_at,1.0
222820_at,1.0
238009_at,1.0
1566698_at,1.0
206572_x_at,1.0
228831_s_at,1.0
221150_at,1.0
241237_at,1.0
40148_at,1.0
223392_s_at,1.0
219806_s_at,1.0
203695_s_at,1.0
229844_at,1.0
206569_at,1.0
203072_at,1.0
230005_at,1.0
225809_at,1.0
208025_s_at,1.0
1568765_at,1.0
244665_at,1.0
1569269_s_at,1.0
243754_at,1.0
219763_at,1.0
230917_at,1.0
230285_at,1.0
219434_at,1.0
235061_at,1.0
241272_at,1.0
228840_at,1.0
225647_s_at,1.0
218717_s_at,1.0
231396_s_at,1.0
202701_at,1.0
201474_s_at,1.0
204879_at,1.0
217785_s_at,1.0
210233_at,1.0
215163_at,1.0
206400_at,1.0
226535_at,1.0
1555736_a_at,1.0
203234_at,1.0
239586_at,1.0
1569603_at,1.0
217999_s_at,1.0
229490_s_at,1.0
203627_at,1.0
237605_at,1.0
1555420_a_at,1.0
235600_at,1.0
226591_at,1.0
232253_at,1.0
213910_at,1.0
204114_at,1.0
240991_at,1.0
222206_s_at,1.0
236624_at,1.0
231944_at,1.0
223666_at,1.0
211194_s_at,1.0
219557_s_at,1.0
221898_at,1.0
222145_at,1.0
212977_at,1.0
229821_at,1.0
238542_at,1.0
205680_at,1.0
1557383_a_at,1.0
240155_x_at,1.0
222285_at,1.0
235419_at,1.0
241469_at,1.0
232967_at,1.0
202464_s_at,1.0
222449_at,1.0
202580_x_at,1.0
225706_at,1.0
242823_at,1.0
201645_at,1.0
239350_at,1.0
206828_at,1.0
235400_at,1.0
210493_s_at,1.0
201169_s_at,1.0
231880_at,1.0
214469_at,1.0
237968_at,1.0
219932_at,1.0
216841_s_at,1.0
205122_at,1.0
1558338_at,1.0
229007_at,1.0
229623_at,1.0
202620_s_at,1.0
240638_at,1.0
243096_at,1.0
1555812_a_at,1.0
1552514_at,1.0
216847_at,1.0
229584_at,1.0
208373_s_at,1.0
207886_s_at,1.0
236260_at,1.0
237252_at,1.0
1561690_at,1.0
236718_at,1.0
209032_s_at,1.0
209505_at,1.0
221625_at,1.0
212713_at,1.0
234082_at,1.0
232958_at,1.0
230115_at,1.0
238557_at,1.0
232439_at,1.0
210370_s_at,1.0
212473_s_at,1.0
236423_at,1.0
228235_at,1.0
241363_at,1.0
229968_at,1.0
1556062_at,1.0
239782_at,1.0
205632_s_at,1.0
1568780_at,1.0
1560353_at,1.0
214074_s_at,1.0
244070_at,1.0
221291_at,1.0
220711_at,1.0
205839_s_at,1.0
224724_at,1.0
204484_at,1.0
1564190_x_at,1.0
220010_at,1.0
242752_at,1.0
1554047_at,1.0
207236_at,1.0
1557283_a_at,1.0
221602_s_at,1.0
242771_at,1.0
202411_at,0.9166666666666666
