gene_id,svm_acc_score
217634_at,1.0
202990_at,1.0
241079_at,1.0
202411_at,1.0
223963_s_at,1.0
204844_at,1.0
203256_at,1.0
212365_at,1.0
203438_at,1.0
220513_at,1.0
202912_at,1.0
232674_at,1.0
204281_at,1.0
213793_s_at,1.0
228377_at,1.0
41037_at,1.0
203005_at,1.0
212364_at,1.0
1570155_at,1.0
225051_at,1.0
239828_at,1.0
202628_s_at,1.0
205241_at,1.0
231766_s_at,1.0
205828_at,1.0
206528_at,1.0
213419_at,1.0
202345_s_at,1.0
1552477_a_at,1.0
206975_at,1.0
232313_at,1.0
204729_s_at,1.0
204858_s_at,1.0
229900_at,1.0
217497_at,1.0
212396_s_at,1.0
229622_at,1.0
212236_x_at,1.0
203439_s_at,1.0
203324_s_at,1.0
227372_s_at,1.0
211160_x_at,1.0
201976_s_at,1.0
212662_at,1.0
224102_at,1.0
235492_at,1.0
1554600_s_at,1.0
235133_at,1.0
1552575_a_at,1.0
212179_at,1.0
1554008_at,1.0
218644_at,1.0
221902_at,1.0
212668_at,1.0
233450_at,1.0
222136_x_at,1.0
225520_at,1.0
206026_s_at,1.0
226117_at,1.0
218368_s_at,1.0
209900_s_at,1.0
203249_at,1.0
209800_at,1.0
224937_at,1.0
1562665_at,1.0
221249_s_at,1.0
217168_s_at,1.0
1555779_a_at,1.0
206025_s_at,1.0
209021_x_at,1.0
236901_at,1.0
212012_at,1.0
227412_at,1.0
212672_at,1.0
209576_at,1.0
201329_s_at,1.0
226907_at,1.0
209402_s_at,1.0
229513_at,1.0
229111_at,1.0
225612_s_at,1.0
206122_at,1.0
217764_s_at,1.0
244321_at,1.0
209863_s_at,1.0
240640_at,1.0
1555423_at,1.0
205656_at,1.0
226129_at,1.0
217762_s_at,1.0
1562863_at,1.0
206581_at,1.0
200730_s_at,1.0
207714_s_at,1.0
239146_at,1.0
204793_at,1.0
238622_at,1.0
212013_at,1.0
222368_at,1.0
1554163_at,1.0
235857_at,1.0
223869_at,1.0
206343_s_at,1.0
212914_at,1.0
234416_at,1.0
218856_at,1.0
205479_s_at,1.0
223541_at,1.0
204558_at,1.0
219725_at,1.0
233052_at,1.0
209126_x_at,1.0
215768_at,1.0
1566880_at,1.0
201995_at,1.0
205891_at,1.0
231924_at,1.0
238741_at,1.0
205438_at,1.0
228905_at,1.0
204337_at,1.0
205490_x_at,1.0
205534_at,1.0
206201_s_at,1.0
207121_s_at,1.0
206244_at,1.0
204420_at,1.0
219787_s_at,1.0
225807_at,1.0
240286_at,1.0
228010_at,1.0
202934_at,1.0
206091_at,1.0
225059_at,1.0
208637_x_at,1.0
219563_at,1.0
1568623_a_at,1.0
40524_at,1.0
219396_s_at,1.0
1554108_at,1.0
217763_s_at,1.0
205801_s_at,1.0
214238_at,1.0
236395_at,1.0
218834_s_at,1.0
202267_at,1.0
209447_at,1.0
226658_at,1.0
205204_at,1.0
1558662_s_at,1.0
222820_at,1.0
204339_s_at,1.0
232623_at,1.0
238009_at,1.0
237690_at,1.0
1566698_at,1.0
242380_at,1.0
244313_at,1.0
206572_x_at,1.0
227646_at,1.0
231928_at,1.0
228831_s_at,1.0
204005_s_at,1.0
239966_at,1.0
221150_at,1.0
218280_x_at,1.0
241237_at,1.0
223392_s_at,1.0
239853_at,1.0
229844_at,1.0
209270_at,1.0
203072_at,1.0
203685_at,1.0
223452_s_at,1.0
204141_at,1.0
244665_at,1.0
219763_at,1.0
1554026_a_at,1.0
230917_at,1.0
1563674_at,1.0
202992_at,1.0
232202_at,1.0
239719_at,1.0
230285_at,1.0
217983_s_at,1.0
235061_at,1.0
241272_at,1.0
201667_at,1.0
222354_at,1.0
221868_at,1.0
233487_s_at,1.0
227502_at,1.0
225647_s_at,1.0
218717_s_at,1.0
239118_at,1.0
202701_at,1.0
204879_at,1.0
217785_s_at,1.0
210233_at,1.0
215163_at,1.0
210138_at,1.0
209885_at,1.0
217519_at,1.0
225191_at,1.0
227736_at,1.0
1560741_at,1.0
234549_at,1.0
206400_at,1.0
217984_at,1.0
226535_at,1.0
233790_at,1.0
225775_at,1.0
206413_s_at,1.0
236593_at,1.0
1553764_a_at,1.0
239586_at,1.0
1561180_at,1.0
206604_at,1.0
1569603_at,1.0
229490_s_at,1.0
226545_at,1.0
219412_at,1.0
206033_s_at,1.0
227261_at,1.0
203627_at,1.0
224657_at,1.0
203710_at,1.0
232667_at,1.0
226591_at,1.0
232253_at,1.0
233483_at,1.0
213910_at,1.0
220565_at,1.0
202947_s_at,1.0
240991_at,1.0
219522_at,1.0
204562_at,1.0
227809_at,1.0
202838_at,1.0
236624_at,1.0
201522_x_at,1.0
219667_s_at,1.0
204674_at,1.0
231944_at,1.0
244441_at,1.0
229933_at,1.0
207223_s_at,1.0
231329_at,1.0
243487_at,1.0
212774_at,1.0
231068_at,1.0
219557_s_at,1.0
229779_at,1.0
222145_at,1.0
228277_at,1.0
203887_s_at,1.0
229084_at,1.0
238542_at,1.0
230275_at,1.0
209687_at,1.0
205541_s_at,1.0
227525_at,1.0
220377_at,1.0
214148_at,1.0
207522_s_at,1.0
214298_x_at,1.0
240155_x_at,1.0
223574_x_at,1.0
